reel_id,popularity_score
1060,152.94
2549,152.07999999999998
2621,148.34
674,146.88
1729,146.64000000000001
1464,144.54
465,143.24
2278,142.2
125,141.3
2851,138.46
1759,137.06
1434,136.74
921,136.42
1036,136.12
182,135.58
1644,134.7
2726,134.36
2158,134.28
280,134.2
1848,134.2
1315,134.14
387,134.07999999999998
2118,133.7
2092,132.98
2693,132.86
1705,132.3
2625,131.85999999999999
234,131.5
2654,131.12
2364,130.96
2689,130.6
1708,130.46
1801,130.46
2416,130.42
542,130.2
2611,129.74
583,128.94
1279,128.42
12,127.94
1973,127.7
1541,127.67999999999999
670,126.48
202,126.46000000000001
856,126.34
731,125.66
1508,125.42
1769,125.28
5,125.0
2859,124.88
1343,124.88
138,124.82
2888,124.74
226,124.28
942,124.2
1488,124.12
1738,124.06
2282,123.96
2783,123.78
1686,123.36
766,123.16
1884,123.08
2839,123.02
2126,122.72
2633,122.18
1224,122.04
332,122.0
1803,121.94
1552,121.9
2493,121.36
1814,121.3
2253,121.17999999999999
902,120.8
195,120.5
1129,120.44
161,120.32
1629,120.12
2144,120.1
1182,119.94
2313,119.92
1649,119.88
746,119.75999999999999
2566,119.52
1897,119.48
1145,119.46
859,119.34
1064,119.06
74,119.0
1242,118.9
1998,118.82
358,118.75999999999999
455,118.74
2302,118.74
1883,118.62
2476,118.58
2944,118.56
498,118.42
913,118.38
1640,118.12
809,118.08
1792,117.94
870,117.74
157,117.72
2751,117.67999999999999
2630,117.46
1993,117.34
1866,117.2
360,117.18
1840,117.18
2010,117.14
2924,117.14
1465,117.12
2745,117.08
144,117.08
1385,117.06
1451,116.9
2153,116.86
877,116.58
528,116.44
2698,116.36
2848,116.26
1003,116.24
973,116.22
768,115.84
400,115.8
2832,115.76
2776,115.76
917,115.60000000000001
2790,115.54
2674,115.52
120,115.5
784,115.14
2382,115.12
2948,115.12
1885,115.12
416,115.04
742,114.96
372,114.92
1675,114.78
2258,114.76
1689,114.62
2412,114.54
2295,114.53999999999999
1353,114.32000000000001
80,114.24
248,114.22
2759,114.22
1992,113.92
677,113.92
415,113.84
2291,113.84
1384,113.78
160,113.74
576,113.7
1202,113.52
1623,113.5
2591,113.44
1120,113.14
2257,113.02
167,112.96
1243,112.8
884,112.72
1709,112.7
1995,112.66
1636,112.60000000000001
1610,112.6
2560,112.5
1977,112.5
1603,112.42
2379,112.28
462,112.08
815,112.06
2,111.9
