reel_id,time_weighted_score
2549,150.79398480738257
1060,148.66173639848168
2621,141.11226812646393
674,139.93366116587177
1464,136.85530280618158
2851,135.53297571005996
1729,135.52778899950377
465,133.57799960828527
1848,133.37159975155015
2278,133.11132077219162
1036,133.01733053956974
280,132.8964770874415
182,132.2250715623531
2693,132.0146189989297
1434,131.6567700642387
125,131.0993071339858
387,129.75092450398373
2092,129.62176148153026
2364,129.15543389026607
1315,128.903938623935
1705,128.04625807040227
2726,127.95247367809168
1759,127.5218673920229
1708,126.93937224731687
2654,126.85306449672277
1644,126.35010089567841
670,125.83905052684267
1541,125.3000089122139
921,125.05791885760102
2118,124.96244307882804
2689,124.4878275371954
583,123.50991280935006
1508,123.42270234802567
202,123.186689922199
2158,123.0934520541061
12,122.39003156436087
234,122.22803811650206
542,122.08911229573258
2625,122.06304835863097
138,121.9934162683761
1279,121.9265698552733
1803,121.2620467694843
332,121.22888067277046
1801,120.84149649144435
2493,120.28489409311874
902,120.15182896561856
1552,119.97943458993649
226,119.935816818291
2611,119.83289038232711
2126,119.77895806381758
5,119.76723071105333
942,119.36021177574949
2416,119.267407731303
731,119.1424536143717
1686,119.13031244716363
1884,119.12384924187332
2282,118.91507995596298
746,118.47461283713643
1343,118.25843909054574
195,117.93841505588007
2859,117.89084681791184
74,117.65877841355575
2839,117.62985753477412
498,117.24544877569177
1769,117.23609017738403
2888,116.92622279067763
2751,116.80037617937928
1064,116.761092204262
1629,116.5987212874829
2783,116.52216321677952
856,116.48909176154501
1488,116.45711666381477
1973,116.42375802467075
1998,116.2860924508672
1465,116.27383226044954
766,116.27184317374056
2924,115.82742415830378
2698,115.72987918745807
144,115.65376951005882
859,115.49196642831657
2010,115.47929621783116
1993,115.38660610331802
2566,115.38608879223153
2476,115.26658471908664
1242,115.22777758596867
2633,115.18762778900847
1897,115.01814416583501
917,115.0122477906894
1224,114.69042054153898
2253,114.47756568754767
1003,114.40488288131965
1814,114.21919024517457
784,113.75991865792304
1738,113.44324718009318
913,113.29653309556939
1649,113.13666925769182
1623,112.91159181247393
2153,112.86297342672701
2630,112.49913844531007
1451,112.31857379168699
1129,112.21627106861547
2302,111.98051492575492
2790,111.85175356137988
1182,111.83506101667577
2591,111.56132675684333
815,111.51664430607214
455,111.14630798654876
1353,111.14490931017092
1992,111.11360119241277
248,111.02218000151974
1603,110.94450322274696
1426,110.93183412996123
2848,110.93005860660875
973,110.8439399105869
2412,110.7531189416681
358,110.71105656993412
528,110.57372103503651
308,110.55247031762075
2295,110.53211798908254
2280,110.4766725406522
2144,110.40445096314573
1883,110.25674722714952
2395,110.22209684395868
2917,110.2012562705351
2382,110.14621296867954
2820,110.0016797912606
1640,109.95497747877369
1866,109.83959961140297
160,109.83625178330644
2607,109.83624619903917
2674,109.79092804855642
416,109.78988214616368
80,109.77537288045916
661,109.66721286731268
2832,109.65401548435247
1689,109.52286468659301
415,109.499332770178
877,109.49160878015041
161,109.47303560493256
2313,109.45993905248868
545,109.38680441944766
2,109.29200240889783
1792,109.0837986497381
1384,109.03017694866674
157,109.02827754326772
2545,109.0155372799956
2257,108.98483590529597
1709,108.95469801480873
2258,108.86698583891669
2560,108.84964456030656
2745,108.81933091615423
711,108.75425274165484
1636,108.73986779222128
1145,108.7083365880765
2948,108.52676714827405
2944,108.50469180271072
1385,108.5045604019191
574,108.4635232483418
982,108.44830466661244
2264,108.44301575836748
2759,108.43836921335446
1610,108.4345703578174
2367,108.29725460983272
1515,108.27000495226152
1194,108.22062178072507
576,107.89087555943078
870,107.74842001301319
1068,107.70133170979133
809,107.54401828691698
2901,107.51230551029595
1762,107.33340015392903
925,107.32247836647292
742,107.25616355736793
600,107.1997486126244
694,107.16554182620978
166,107.07976460282202
2088,107.01608730423344
372,106.96832514280892
120,106.91351462083021
400,106.85043397183487
2814,106.82766710520882
2894,106.7979543346408
1885,106.7286863709894
360,106.64781257864472
1840,106.57858615858778
298,106.26718387851975
1379,106.26698875465692
681,106.14148503966075
386,106.12257115173149
768,105.80579225159953
1810,105.68681371806625
2776,105.65960981920836
106,105.61009930144245
2254,105.6046260275634
2173,105.50926078348121
1675,105.45801338451331
772,105.44924644761664
1340,105.44358197246271
1363,105.41666731359294
2291,105.35320146357532
2896,105.34300914446005
2482,105.34052730929817
1995,105.28958033546698
761,105.28670808335566
847,105.20972781042614
1097,105.1800519666913
167,105.17052570741872
2930,105.14500638118818
2675,105.11534368133235
1754,105.01280469607914
884,104.7174666886611
1950,104.69216359691733
1933,104.65375019094154
1243,104.64786560446022
1963,104.64138588676204
2157,104.61832404975564
736,104.58565142246593
174,104.53639708162486
881,104.53131639619404
1202,104.48331208347258
677,104.30884512196785
544,104.27586281696333
1913,104.10717236630374
